INTTK int
IDENFR yyyyy
COMMA ,
IDENFR lep
LBRACK [
INTCON 8
RBRACK ]
SEMICN ;
CHARTK char
IDENFR hiii
SEMICN ;
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON Nothin here just testing
RPARENT )
SEMICN ;
IDENFR lep
LBRACK [
INTCON 0
RBRACK ]
ASSIGN =
MINU -
INTCON 1
SEMICN ;
IDENFR lep
LBRACK [
INTCON 1
RBRACK ]
ASSIGN =
MINU -
INTCON 2
PLUS +
INTCON 3
DIV /
INTCON 2
MULT *
INTCON 6
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR lep
LBRACK [
INTCON 1
RBRACK ]
RPARENT )
SEMICN ;
RBRACE }
